iso3,country_name,indicator,indicator_name,year,value_percent,country_longitude,country_latitude,status
SVK,Slovakia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
SVN,Slovenia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
SLB,Solomon Islands,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
SOM,Somalia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
ZAF,South Africa,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
SGS,South Georgia and the South Sandwich Islands,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
SSD,South Sudan,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
ESP,Spain,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
LKA,Sri Lanka,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
SDN,Sudan,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
SUR,Suriname,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
SJM,Svalbard and Jan Mayen,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
SWE,Sweden,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
CHE,Switzerland,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
SYR,Syrian Arab Republic,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
TWN,"Taiwan, Province of China",EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
TJK,Tajikistan,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
TZA,"Tanzania, United Republic of",EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
THA,Thailand,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
TLS,Timor-Leste,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
TGO,Togo,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
TKL,Tokelau,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
TON,Tonga,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
TTO,Trinidad and Tobago,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
TUN,Tunisia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
TKM,Turkmenistan,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
TCA,Turks and Caicos Islands,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
TUV,Tuvalu,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
TUR,Türkiye,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
UGA,Uganda,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
UKR,Ukraine,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
ARE,United Arab Emirates,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
GBR,United Kingdom,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
USA,United States,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
UMI,United States Minor Outlying Islands,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
URY,Uruguay,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
UZB,Uzbekistan,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
VUT,Vanuatu,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
VEN,"Venezuela, Bolivarian Republic of",EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
VNM,Viet Nam,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
VGB,"Virgin Islands, British",EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
VIR,"Virgin Islands, U.S.",EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
WLF,Wallis and Futuna,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
ESH,Western Sahara,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
YEM,Yemen,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
ZMB,Zambia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
ZWE,Zimbabwe,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
ALA,Åland Islands,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
